a,b,c,d,e,f,g,h
48,3,0.111,0.667,31.218,162.000,100.000,0.618
49,3,0.111,0.667,31.219,162.000,100.000,0.618
50,3,0.111,0.667,32.951,162.000,100.000,0.618
51,3,0.111,0.667,32.952,162.000,100.000,0.618
52,3,0.111,0.667,32.953,162.000,100.000,0.618
53,3,0.111,0.667,32.953,162.000,100.000,0.618
54,3,0.111,0.667,32.954,162.000,100.000,0.618
55,3,0.111,0.667,32.955,162.000,100.000,0.618
56,3,0.111,0.667,32.956,162.000,100.000,0.618
57,3,0.111,0.667,32.956,162.000,100.000,0.618
58,3,0.111,0.667,32.957,162.000,100.000,0.618
59,3,0.111,0.667,32.958,162.000,100.000,0.618
60,3,0.111,0.667,32.959,162.000,100.000,0.618
61,3,0.111,0.667,32.960,162.000,100.000,0.618
62,3,0.111,0.667,32.960,162.000,100.000,0.618
63,3,0.111,0.667,32.961,162.000,100.000,0.618
64,3,0.111,0.667,32.962,162.000,100.000,0.618
65,3,0.111,0.667,32.963,162.000,100.000,0.618
66,3,0.111,0.667,32.963,162.000,100.000,0.618
67,3,0.111,0.667,32.964,162.000,100.000,0.618
68,3,0.111,0.667,32.965,162.000,100.000,0.618
69,3,0.111,0.667,32.966,162.000,100.000,0.618
70,3,0.111,0.667,32.966,162.000,100.000,0.618
71,3,0.111,0.667,32.967,162.000,100.000,0.618
72,3,0.111,0.667,32.968,162.000,100.000,0.618
73,3,0.111,0.667,32.969,162.000,100.000,0.618
74,3,0.111,0.667,32.969,162.000,100.000,0.618
75,3,0.111,0.667,32.970,162.000,100.000,0.618
76,3,0.111,0.667,32.971,162.000,100.000,0.618
77,3,0.111,0.667,32.971,162.000,100.000,0.618
78,3,0.111,0.667,35.811,162.000,100.000,0.618
79,3,0.111,0.667,35.812,162.000,100.000,0.618
80,3,0.111,0.667,35.812,162.000,100.000,0.618
81,3,0.111,0.667,35.813,162.000,100.000,0.618
82,3,0.111,0.667,35.814,162.000,100.000,0.618
83,3,0.111,0.667,35.814,162.000,100.000,0.618
84,3,0.111,0.667,35.815,162.000,100.000,0.618
85,3,0.111,0.667,35.816,162.000,100.000,0.618
86,3,0.111,0.667,35.817,162.000,100.000,0.618
87,3,0.111,0.667,35.817,162.000,100.000,0.618
88,3,0.111,0.667,35.858,162.000,100.000,0.618
89,3,0.111,0.667,35.859,162.000,100.000,0.618
90,3,0.111,0.667,35.859,162.000,100.000,0.618
91,3,0.111,0.667,35.860,162.000,100.000,0.618
92,3,0.111,0.667,35.861,162.000,100.000,0.618
93,3,0.111,0.667,35.862,162.000,100.000,0.618
94,3,0.111,0.667,35.862,162.000,100.000,0.618
95,3,0.111,0.667,35.864,162.000,100.000,0.618
96,3,0.111,0.667,35.865,162.000,100.000,0.618
97,3,0.111,0.667,36.330,162.000,100.000,0.618
98,3,0.111,0.667,36.330,162.000,100.000,0.618
99,3,0.111,0.667,36.331,162.000,100.000,0.618
100,3,0.111,0.667,36.332,162.000,100.000,0.618
1,1,0.113,0.590,0.003,153.000,109.000,0.584
2,1,0.112,0.600,0.006,156.000,106.000,0.595
3,1,0.112,0.659,0.009,158.000,104.000,0.603
4,1,0.111,0.659,0.012,157.000,105.000,0.599
5,1,0.112,0.661,0.017,157.000,105.000,0.599
6,1,0.111,0.659,0.020,158.000,104.000,0.603
7,1,0.111,0.659,0.023,157.000,105.000,0.599
8,1,0.112,0.659,0.025,157.000,105.000,0.599
9,1,0.111,0.657,0.028,158.000,104.000,0.603
10,1,0.111,0.661,0.030,157.000,105.000,0.599
11,1,0.111,0.657,1.469,158.000,104.000,0.603
12,1,0.111,0.661,1.472,157.000,105.000,0.599
13,1,0.111,0.657,1.475,158.000,104.000,0.603
14,1,0.111,0.661,1.478,158.000,104.000,0.603
15,1,0.111,0.659,1.480,157.000,105.000,0.599
16,1,0.111,0.659,4.146,158.000,104.000,0.603
17,1,0.111,0.659,4.148,157.000,105.000,0.599
18,1,0.111,0.657,4.151,158.000,104.000,0.603
19,1,0.111,0.661,4.152,158.000,104.000,0.603
20,1,0.111,0.659,4.153,157.000,105.000,0.599
21,1,0.111,0.657,4.154,157.000,105.000,0.599
22,1,0.111,0.663,4.872,158.000,104.000,0.603
23,1,0.111,0.667,4.873,157.000,105.000,0.599
24,1,0.110,0.669,6.551,157.000,105.000,0.599
25,1,0.110,0.669,7.965,156.000,106.000,0.595
26,1,0.110,0.671,7.966,154.000,108.000,0.588
27,1,0.109,0.671,7.967,154.000,108.000,0.588
28,1,0.109,0.671,7.968,154.000,108.000,0.588
29,1,0.109,0.671,7.969,154.000,108.000,0.588
30,1,0.109,0.671,7.970,154.000,108.000,0.588
31,1,0.109,0.671,7.971,154.000,108.000,0.588
32,1,0.109,0.671,9.154,154.000,108.000,0.588
33,1,0.109,0.671,9.155,154.000,108.000,0.588
34,1,0.109,0.671,9.156,154.000,108.000,0.588
35,1,0.109,0.671,9.157,154.000,108.000,0.588
36,1,0.109,0.671,9.158,154.000,108.000,0.588
37,1,0.109,0.671,9.158,154.000,108.000,0.588
38,1,0.109,0.671,9.159,154.000,108.000,0.588
39,1,0.109,0.671,11.786,154.000,108.000,0.588
40,1,0.109,0.671,11.786,154.000,108.000,0.588
41,1,0.109,0.671,11.787,154.000,108.000,0.588
42,1,0.109,0.671,12.934,154.000,108.000,0.588
43,1,0.109,0.671,16.050,154.000,108.000,0.588
44,1,0.109,0.671,16.051,154.000,108.000,0.588
45,1,0.109,0.671,16.052,154.000,108.000,0.588
46,1,0.109,0.671,16.053,154.000,108.000,0.588
47,1,0.109,0.671,16.053,154.000,108.000,0.588
48,1,0.109,0.671,16.054,154.000,108.000,0.588
49,1,0.109,0.671,16.055,154.000,108.000,0.588
50,1,0.109,0.671,16.056,154.000,108.000,0.588
51,1,0.109,0.671,16.056,154.000,108.000,0.588
52,1,0.109,0.671,16.057,154.000,108.000,0.588
53,1,0.109,0.671,16.058,154.000,108.000,0.588
54,1,0.109,0.671,16.059,154.000,108.000,0.588
55,1,0.109,0.671,16.421,154.000,108.000,0.588
56,1,0.109,0.671,16.422,154.000,108.000,0.588
57,1,0.109,0.671,16.423,154.000,108.000,0.588
58,1,0.109,0.671,16.424,154.000,108.000,0.588
59,1,0.109,0.671,16.424,154.000,108.000,0.588
60,1,0.109,0.671,16.425,154.000,108.000,0.588
61,1,0.109,0.671,16.426,154.000,108.000,0.588
62,1,0.109,0.671,16.426,154.000,108.000,0.588
63,1,0.109,0.671,16.427,154.000,108.000,0.588
64,1,0.109,0.671,16.428,154.000,108.000,0.588
65,1,0.109,0.671,16.428,154.000,108.000,0.588
66,1,0.109,0.671,16.429,154.000,108.000,0.588
67,1,0.109,0.671,16.430,154.000,108.000,0.588
