a,b,c,d,e,f,g,h
89,9,0.106,0.686,28.005,158.000,104.000,0.603
90,9,0.105,0.684,28.006,161.000,101.000,0.615
91,9,0.106,0.684,28.007,158.000,104.000,0.603
92,9,0.105,0.686,28.065,163.000,99.000,0.622
93,9,0.105,0.688,28.066,161.000,101.000,0.615
94,9,0.105,0.690,28.067,162.000,100.000,0.618
95,9,0.105,0.688,28.068,162.000,100.000,0.618
96,9,0.105,0.688,28.068,163.000,99.000,0.622
97,9,0.105,0.688,28.070,162.000,100.000,0.618
98,9,0.105,0.688,28.071,163.000,99.000,0.622
99,9,0.105,0.688,28.072,163.000,99.000,0.622
100,9,0.105,0.688,28.072,163.000,99.000,0.622
