a,b,c,d,e,f,g,h,i,j,k
29,2,66.670,0.450,0.792,126.000,136.000,0.481,500,150,100
30,2,66.670,0.450,0.793,126.000,136.000,0.481,500,150,100
31,2,65.463,0.473,0.793,131.000,131.000,0.500,500,150,100
32,2,65.463,0.473,0.794,131.000,131.000,0.500,500,150,100
33,2,64.785,0.481,0.794,134.000,128.000,0.511,500,150,100
34,2,64.785,0.481,0.795,134.000,128.000,0.511,500,150,100
35,2,64.743,0.487,0.795,135.000,127.000,0.515,500,150,100
36,2,64.730,0.489,0.796,135.000,127.000,0.515,500,150,100
37,2,64.730,0.489,1.027,135.000,127.000,0.515,500,150,100
38,2,64.730,0.489,1.028,135.000,127.000,0.515,500,150,100
39,2,58.313,0.635,1.028,166.000,96.000,0.634,500,150,100
40,2,58.292,0.633,1.029,166.000,96.000,0.634,500,150,100
41,2,58.292,0.633,1.029,166.000,96.000,0.634,500,150,100
42,2,58.292,0.633,1.030,166.000,96.000,0.634,500,150,100
43,2,58.241,0.619,1.030,164.000,98.000,0.626,500,150,100
44,2,56.818,0.667,1.030,162.000,100.000,0.618,500,150,100
45,2,56.659,0.667,1.031,162.000,100.000,0.618,500,150,100
46,2,56.659,0.667,1.031,162.000,100.000,0.618,500,150,100
47,2,56.659,0.667,1.031,162.000,100.000,0.618,500,150,100
48,2,56.659,0.667,1.032,162.000,100.000,0.618,500,150,100
49,2,56.659,0.667,1.032,162.000,100.000,0.618,500,150,100
50,2,56.659,0.667,1.032,162.000,100.000,0.618,500,150,100
51,2,55.345,0.667,1.033,162.000,100.000,0.618,500,150,100
52,2,55.345,0.667,1.033,162.000,100.000,0.618,500,150,100
53,2,55.345,0.667,1.043,162.000,100.000,0.618,500,150,100
54,2,55.292,0.667,1.043,162.000,100.000,0.618,500,150,100
55,2,55.292,0.667,1.043,162.000,100.000,0.618,500,150,100
56,2,55.292,0.667,1.044,162.000,100.000,0.618,500,150,100
57,2,55.292,0.667,1.044,162.000,100.000,0.618,500,150,100
58,2,55.292,0.667,1.044,162.000,100.000,0.618,500,150,100
59,2,55.292,0.667,1.045,162.000,100.000,0.618,500,150,100
60,2,55.292,0.667,1.045,162.000,100.000,0.618,500,150,100
61,2,55.292,0.667,1.045,162.000,100.000,0.618,500,150,100
62,2,55.292,0.667,1.132,162.000,100.000,0.618,500,150,100
63,2,55.292,0.667,1.132,162.000,100.000,0.618,500,150,100
64,2,55.292,0.667,1.133,162.000,100.000,0.618,500,150,100
65,2,55.291,0.667,1.133,162.000,100.000,0.618,500,150,100
66,2,55.291,0.667,1.134,162.000,100.000,0.618,500,150,100
67,2,55.288,0.667,1.134,162.000,100.000,0.618,500,150,100
68,2,55.288,0.667,1.134,162.000,100.000,0.618,500,150,100
69,2,55.288,0.667,1.134,162.000,100.000,0.618,500,150,100
70,2,55.227,0.667,1.135,162.000,100.000,0.618,500,150,100
71,2,55.227,0.667,1.135,162.000,100.000,0.618,500,150,100
72,2,55.227,0.667,1.135,162.000,100.000,0.618,500,150,100
73,2,55.058,0.667,1.136,162.000,100.000,0.618,500,150,100
74,2,55.048,0.667,1.136,162.000,100.000,0.618,500,150,100
75,2,55.048,0.667,1.136,162.000,100.000,0.618,500,150,100
76,2,55.048,0.667,1.137,162.000,100.000,0.618,500,150,100
