a,b,c,d,e,f
1390,2983.7165373759008,2.343277641,200,150,25
1400,3016.2843793978277,2.351174988,200,150,25
1410,3026.5042645195344,2.353009063,200,150,25
1420,2955.949879105533,2.354451388,200,150,25
1430,3026.1241396064943,2.357165188,200,150,25
1440,3026.1241396064943,2.358645899,200,150,25
1450,3073.1215354627193,2.359812474,200,150,25
1460,3015.707099797125,2.360930621,200,150,25
1470,3021.887323565197,2.362097738,200,150,25
1480,3025.9627665620974,2.363641648,200,150,25
1490,2946.039770753915,2.364742102,200,150,25
1500,2943.5880465124037,2.366873483,200,150,25
1510,2982.0926319508344,2.368733807,200,150,25
1520,2982.0926319508344,2.370251177,200,150,25
1530,2964.7492941716796,2.371846158,200,150,25
1540,3005.8985670458824,2.590921644,200,150,25
1550,3021.6101001600964,2.591819613,200,150,25
1560,3032.8717422357577,2.593156042,200,150,25
1570,2982.9192223025266,2.594483859,200,150,25
1580,2973.791284644131,2.595393459,200,150,25
1590,2975.6868064673595,2.596312318,200,150,25
1600,3024.212470436289,2.597631645,200,150,25
1610,3024.212470436289,2.598794467,200,150,25
1620,3070.5902659996364,2.599719078,200,150,25
1630,3032.0747025314304,2.699095889,200,150,25
1640,3001.5653554672554,2.700438097,200,150,25
1650,3031.316856645246,2.701411879,200,150,25
1660,3024.4302353793805,2.70241861,200,150,25
1670,3115.8304219191614,2.703321682,200,150,25
1680,3042.286625553794,2.704219277,200,150,25
1690,2973.7255481414286,2.705111278,200,150,25
1700,2994.537929225704,2.706010807,200,150,25
1710,3052.1139681537816,2.706917238,200,150,25
1720,3073.8121091822245,2.707831642,200,150,25
1730,3073.8121091822245,2.792055968,200,150,25
1740,3100.962487917429,2.793732684,200,150,25
1750,3002.8978391827904,2.795349115,200,150,25
1760,3005.7504079812566,2.796739995,200,150,25
1770,3002.2772513460905,2.798118083,200,150,25
1780,3010.002236126933,2.799587699,200,150,25
1790,3119.2924975367646,2.801052134,200,150,25
1800,3041.9532943043587,2.893947083,200,150,25
1810,3068.4689664859943,2.897081185,200,150,25
1820,2995.6815054840063,2.898526929,200,150,25
1830,3016.829949481041,2.899964967,200,150,25
1840,3011.366056984267,2.901424968,200,150,25
1850,3007.478832291238,2.902941519,200,150,25
1860,3043.9711787530046,2.9045043,200,150,25
1870,2971.9333893127064,2.9843753,200,150,25
1880,3013.02897822076,2.985736548,200,150,25
1890,2986.8908131151084,2.986838103,200,150,25
1900,3010.0758666757424,2.989126232,200,150,25
1910,3023.654701452325,2.996069088,200,150,25
1920,3023.654701452325,3.002149128,200,150,25
1930,3042.263331714288,3.005184442,200,150,25
1940,3050.1613087227047,3.006073129,200,150,25
1950,3044.5992440210857,3.135617376,200,150,25
1960,3007.3688914052077,3.145523286,200,150,25
1970,3033.3295022295065,3.14680392,200,150,25
1980,3116.559324167496,3.148068778,200,150,25
1990,3116.559324167496,3.148968333,200,150,25
2000,3057.1732395600357,3.15010238,200,150,25
2010,3057.1732395600357,3.151062776,200,150,25
2020,3057.1732395600357,3.15235201,200,150,25
2030,3086.3298369437,3.153366359,200,150,25
2040,3041.5103464332688,3.244382541,200,150,25
