a,b,c,d,e
590,2983.809256363129,10.604581323,200,20
600,2983.809256363129,10.609570119,200,20
610,2983.809256363129,10.80097485,200,20
620,2983.809256363129,10.808919215,200,20
630,2997.7708712877456,10.81509586,200,20
640,2986.663334454059,11.222663153,200,20
650,2983.809256363129,11.263942002,200,20
660,2983.809256363129,11.587606709,200,20
670,2983.809256363129,11.593156264,200,20
680,2983.809256363129,12.071123886,200,20
690,3000.8973903580863,12.303894846,200,20
700,2983.809256363129,12.73387374,200,20
710,2984.7606157267724,12.93008479,200,20
720,2984.7606157267724,12.941008617,200,20
730,2984.7606157267724,12.966810455,200,20
740,2983.809256363129,13.169824207,200,20
750,2983.809256363129,13.427219682,200,20
760,2983.809256363129,13.558177287,200,20
770,2983.809256363129,13.825928822,200,20
780,2983.809256363129,14.253109177,200,20
790,2983.809256363129,14.25934044,200,20
800,2984.2874232086424,14.543949517,200,20
810,2984.2874232086424,14.776086741,200,20
820,2983.809256363129,14.784394324,200,20
830,2983.809256363129,14.946568188,200,20
840,2983.809256363129,15.317959099,200,20
850,2985.322935449836,15.587300556,200,20
860,2986.663334454059,15.75355266,200,20
870,2983.809256363129,15.764401441,200,20
880,2983.809256363129,15.770704042,200,20
890,2986.663334454059,16.135542566,200,20
900,2983.809256363129,16.154925541,200,20
910,2983.809256363129,16.400192183,200,20
920,2983.809256363129,16.406233917,200,20
930,2983.809256363129,16.600449733,200,20
940,2983.809256363129,16.886558444,200,20
950,2984.2874232086424,16.892587173,200,20
960,2983.809256363129,17.107603212,200,20
970,3018.219519319694,17.297314869,200,20
980,2983.809256363129,17.472612634,200,20
990,2986.663334454059,17.679003643,200,20
1000,2983.809256363129,17.68454127,200,20
10,2699.6904488462737,0.428344655,200,20
20,2776.263115104413,1.011506007,200,20
30,2845.566830926578,1.018862877,200,20
40,2932.5096922442517,1.126710417,200,20
50,3014.27476350824,1.233578363,200,20
60,3014.27476350824,1.243329688,200,20
70,3014.27476350824,1.835191968,200,20
80,3014.27476350824,1.854342957,200,20
90,3014.27476350824,1.917199193,200,20
100,3014.27476350824,1.950883482,200,20
110,3014.27476350824,2.205366344,200,20
120,3014.27476350824,2.683653229,200,20
130,3014.27476350824,2.690250988,200,20
140,3014.27476350824,2.79424146,200,20
150,3014.27476350824,3.133360469,200,20
160,3014.27476350824,3.32189042,200,20
170,3014.27476350824,3.335208409,200,20
180,3014.27476350824,3.343431446,200,20
190,3014.27476350824,3.3500386,200,20
200,3014.27476350824,3.857570572,200,20
210,3020.538518658664,4.074518293,200,20
220,3017.8150748869252,4.205254556,200,20
230,3020.538518658664,4.535207088,200,20
240,3014.27476350824,4.588365041,200,20
250,3014.27476350824,4.595482266,200,20
260,3014.27476350824,4.768139758,200,20
270,3016.177482235527,5.051649222,200,20
280,3016.2959750798086,5.058414983,200,20
290,3014.27476350824,5.367959117,200,20
300,3014.27476350824,5.669397175,200,20
310,3014.27476350824,5.675946375,200,20
320,3014.27476350824,5.911231705,200,20
330,3029.70738170419,6.138958374,200,20
340,3014.27476350824,6.15038504,200,20
350,3017.4066410834516,6.561526224,200,20
360,3020.538518658664,6.567123258,200,20
370,3021.3355015550983,6.768596127,200,20
380,3014.27476350824,6.774788971,200,20
390,3015.2261228718835,7.133232137,200,20
400,3014.27476350824,7.139354755,200,20
410,3017.0595545449128,7.404913093,200,20
420,3043.877923081302,7.724059977,200,20
430,3014.27476350824,7.751328356,200,20
440,3038.8196416870464,7.758534061,200,20
450,3014.27476350824,8.104539271,200,20
460,3025.0624593161733,8.109068166,200,20
470,3016.083166714008,8.469508932,200,20
480,3016.177482235527,8.474048118,200,20
490,3030.5822168409427,9.116218729,200,20
500,3023.258309271816,9.357409253,200,20
510,3016.177482235527,9.589183004,200,20
520,3020.538518658664,9.902433975,200,20
530,3020.538518658664,10.302181882,200,20
540,3014.27476350824,10.308181662,200,20
550,3014.27476350824,10.319958675,200,20
560,3014.27476350824,10.4677255,200,20
570,3016.177482235527,10.702052707,200,20
