a,b,c,d,e
450,2364.297265405791,0.241197425,100.0,0.95
460,2364.297265405791,0.2412388,100.0,0.95
470,2351.8692752150746,0.241280727,100.0,0.95
480,2351.8692752150746,0.241324804,100.0,0.95
490,2351.8692752150746,0.241368539,100.0,0.95
500,2351.8692752150746,0.241413199,100.0,0.95
510,2351.8692752150746,0.241455833,100.0,0.95
520,2351.8692752150746,0.241498195,100.0,0.95
530,2351.8692752150746,0.241542623,100.0,0.95
540,2351.8692752150746,0.241585037,100.0,0.95
550,2351.8692752150746,0.241628312,100.0,0.95
560,2351.8692752150746,0.241672004,100.0,0.95
570,2351.8692752150746,0.241717267,100.0,0.95
580,2351.8692752150746,0.241768107,100.0,0.95
590,2351.8692752150746,0.241817903,100.0,0.95
600,2351.8692752150746,0.241867173,100.0,0.95
610,2351.8692752150746,0.241918394,100.0,0.95
620,2351.8692752150746,0.241967123,100.0,0.95
630,2351.8692752150746,0.242017223,100.0,0.95
640,2351.8692752150746,0.242066748,100.0,0.95
650,2351.8692752150746,0.242118479,100.0,0.95
660,2351.8692752150746,0.242168212,100.0,0.95
670,2420.112888002528,0.242218573,100.0,0.95
680,2420.112888002528,0.24227136,100.0,0.95
690,2420.112888002528,0.242323653,100.0,0.95
700,2420.112888002528,0.242378449,100.0,0.95
710,2420.112888002528,0.242432837,100.0,0.95
720,2420.112888002528,0.24248483,100.0,0.95
730,2420.112888002528,0.242536838,100.0,0.95
740,2420.112888002528,0.242589224,100.0,0.95
750,2442.809774842331,0.242641157,100.0,0.95
760,2462.731081160633,0.242694608,100.0,0.95
770,2469.371516600067,0.242747053,100.0,0.95
780,2469.371516600067,0.242802185,100.0,0.95
790,2469.371516600067,0.242855613,100.0,0.95
800,2469.371516600067,0.242911483,100.0,0.95
810,2469.371516600067,0.242966265,100.0,0.95
820,2469.371516600067,0.243022118,100.0,0.95
830,2503.000779990328,0.243076859,100.0,0.95
840,2503.000779990328,0.243133114,100.0,0.95
850,2531.5453985705935,0.243189238,100.0,0.95
860,2531.5453985705935,0.243248012,100.0,0.95
870,2531.5453985705935,0.24330349,100.0,0.95
880,2531.5453985705935,0.24336256,100.0,0.95
890,2531.5453985705935,0.243420678,100.0,0.95
900,2554.2422854103966,0.243478307,100.0,0.95
910,2554.2422854103966,0.24354228,100.0,0.95
920,2554.2422854103966,0.243606827,100.0,0.95
930,2554.2422854103966,0.24366727,100.0,0.95
940,2554.2422854103966,0.243727602,100.0,0.95
950,2554.2422854103966,0.243787168,100.0,0.95
960,2554.2422854103966,0.243844973,100.0,0.95
970,2554.2422854103966,0.24390648,100.0,0.95
980,2554.2422854103966,0.243969622,100.0,0.95
990,2554.2422854103966,0.244030064,100.0,0.95
1000,2554.2422854103966,0.244082563,100.0,0.95
1010,2554.2422854103966,0.244136519,100.0,0.95
1020,2554.2422854103966,0.244203304,100.0,0.95
1030,2554.2422854103966,0.24425751,100.0,0.95
1040,2554.2422854103966,0.244311114,100.0,0.95
1050,2554.2422854103966,0.244364317,100.0,0.95
1060,2554.2422854103966,0.24442778,100.0,0.95
1070,2554.2422854103966,0.244492679,100.0,0.95
1080,2554.2422854103966,0.244557757,100.0,0.95
1090,2554.2422854103966,0.244617088,100.0,0.95
1100,2554.2422854103966,0.244680114,100.0,0.95
1110,2554.2422854103966,0.244743907,100.0,0.95
1120,2554.2422854103966,0.24480984,100.0,0.95
1130,2554.2422854103966,0.244878804,100.0,0.95
1140,2554.2422854103966,0.244948539,100.0,0.95
1150,2554.2422854103966,0.245012893,100.0,0.95
1160,2566.670275601113,0.245080355,100.0,0.95
1170,2566.670275601113,0.245149224,100.0,0.95
1180,2566.670275601113,0.245219632,100.0,0.95
1190,2566.670275601113,0.245287569,100.0,0.95
1200,2566.670275601113,0.245355939,100.0,0.95
1210,2566.670275601113,0.245429299,100.0,0.95
1220,2566.670275601113,0.245497853,100.0,0.95
1230,2566.670275601113,0.245578712,100.0,0.95
1240,2566.670275601113,0.245662752,100.0,0.95
1250,2566.670275601113,0.245740249,100.0,0.95
1260,2566.670275601113,0.245815464,100.0,0.95
1270,2566.670275601113,0.245898213,100.0,0.95
1280,2566.670275601113,0.245974427,100.0,0.95
1290,2566.670275601113,0.246049914,100.0,0.95
1300,2566.670275601113,0.246123798,100.0,0.95
1310,2566.670275601113,0.246201243,100.0,0.95
1320,2566.670275601113,0.24629703,100.0,0.95
1330,2566.670275601113,0.246377432,100.0,0.95
1340,2566.670275601113,0.246448824,100.0,0.95
1350,2566.670275601113,0.246522373,100.0,0.95
1360,2566.670275601113,0.246632407,100.0,0.95
1370,2566.670275601113,0.246717432,100.0,0.95
1380,2566.670275601113,0.24681922,100.0,0.95
1390,2566.670275601113,0.246906774,100.0,0.95
1400,2566.670275601113,0.246996645,100.0,0.95
1410,2566.670275601113,0.247074688,100.0,0.95
1420,2566.670275601113,0.247164947,100.0,0.95
1430,2566.670275601113,0.247240837,100.0,0.95
1440,2566.670275601113,0.24731795,100.0,0.95
1450,2566.670275601113,0.247400974,100.0,0.95
1460,2566.670275601113,0.247488755,100.0,0.95
1470,2566.670275601113,0.247577174,100.0,0.95
1480,2566.670275601113,0.247656852,100.0,0.95
1490,2566.670275601113,0.247735228,100.0,0.95
1500,2566.670275601113,0.247822752,100.0,0.95
1510,2566.670275601113,0.247908322,100.0,0.95
1520,2566.670275601113,0.247999454,100.0,0.95
1530,2566.670275601113,0.248090328,100.0,0.95
