a,b,c
2160,0.0662152993106401,0.086431516
2170,0.0662152993106401,0.086490306
2180,0.0662152993106401,0.086550685
2190,0.0662152993106401,0.086606433
2200,0.0662152993106401,0.086664633
2210,0.0662152993106401,0.086721095
2220,0.0662152993106401,0.086779237
2230,0.0662152993106401,0.086838325
2240,0.0662152993106401,0.086895985
2250,0.0662152993106401,0.086957511
2260,0.0662152993106401,0.08701956
2270,0.0662152993106401,0.087091492
2280,0.0662152993106401,0.087155556
2290,0.0662152993106401,0.08721978
2300,0.0662152993106401,0.087280183
2310,0.0662152993106401,0.087342173
2320,0.0662152993106401,0.087406923
2330,0.0662152993106401,0.087464221
2340,0.0662152993106401,0.087556408
2350,0.06642645071328834,0.087620278
2360,0.06642645071328834,0.087683925
2370,0.06642645071328834,0.087751206
2380,0.06642645071328834,0.087819855
2390,0.06642645071328834,0.087882147
2400,0.06642645071328834,0.087990396
2410,0.06642645071328834,0.08804935
2420,0.06642645071328834,0.088107435
2430,0.06642645071328834,0.088169848
2440,0.06642645071328834,0.088233566
2450,0.06660825661456608,0.088299063
2460,0.06660825661456608,0.088360373
2470,0.06660825661456608,0.088424625
2480,0.06660825661456608,0.09903468
2490,0.06660825661456608,0.141672576
2500,0.06660825661456608,0.141991187
2510,0.06660825661456608,0.142097671
2520,0.06660825661456608,0.142184897
2530,0.06660825661456608,0.185872257
2540,0.06660825661456608,0.185918194
2550,0.06660825661456608,0.185953891
2560,0.06660825661456608,0.186043231
2570,0.06660825661456608,0.186149032
2580,0.06660825661456608,0.186190093
2590,0.06660825661456608,0.186228108
2600,0.06660825661456608,0.186263022
2610,0.06660825661456608,0.186298108
2620,0.06660825661456608,0.186334346
2630,0.06660825661456608,0.186368837
2640,0.06660825661456608,0.186400588
2650,0.06660825661456608,0.186432649
2660,0.06660825661456608,0.186464556
2670,0.06660825661456608,0.186497149
2680,0.06660825661456608,0.186529666
2690,0.06660825661456608,0.186563226
2700,0.06660825661456608,0.186598248
2710,0.06666506975219247,0.186632508
2720,0.06666506975219247,0.186684534
2730,0.06666506975219247,0.186718634
2740,0.06666506975219247,0.186754093
2750,0.06666506975219247,0.186791941
2760,0.06666506975219247,0.186874299
2770,0.06943885704546968,0.186931769
2780,0.06943885704546968,0.186967093
2790,0.06943885704546968,0.187002064
2800,0.06943885704546968,0.187040246
2810,0.06943885704546968,0.187077506
