a,b,c,d,e
370,239.0,58.896690602,100.0,50.0
380,239.0,60.243663394,100.0,50.0
390,240.0,61.618232624,100.0,50.0
400,239.0,63.020826033,100.0,50.0
410,239.0,64.341455865,100.0,50.0
420,239.0,65.767085114,100.0,50.0
430,240.0,67.179198424,100.0,50.0
440,239.0,68.555558324,100.0,50.0
450,240.0,69.929670959,100.0,50.0
460,240.0,71.312860263,100.0,50.0
470,240.0,72.694261209,100.0,50.0
480,240.0,74.101110098,100.0,50.0
490,241.0,75.505072948,100.0,50.0
500,240.0,76.854266259,100.0,50.0
510,240.0,78.734720887,100.0,50.0
520,240.0,80.332605835,100.0,50.0
530,240.0,81.885787168,100.0,50.0
540,241.0,83.553659505,100.0,50.0
550,240.0,85.170646856,100.0,50.0
560,240.0,86.704614514,100.0,50.0
570,240.0,88.217935708,100.0,50.0
580,240.0,89.748068771,100.0,50.0
590,241.0,91.354688292,100.0,50.0
600,241.0,93.066545673,100.0,50.0
610,240.0,94.769042605,100.0,50.0
620,240.0,96.359854373,100.0,50.0
630,242.0,98.086609472,100.0,50.0
640,240.0,99.638489173,100.0,50.0
650,240.0,101.083990105,100.0,50.0
660,240.0,102.635446935,100.0,50.0
670,240.0,103.967642734,100.0,50.0
680,240.0,105.442515888,100.0,50.0
690,240.0,107.576220185,100.0,50.0
700,241.0,109.857242508,100.0,50.0
710,241.0,111.718218872,100.0,50.0
720,241.0,113.130438158,100.0,50.0
730,241.0,114.540084012,100.0,50.0
740,241.0,115.92918658,100.0,50.0
750,241.0,117.229492281,100.0,50.0
760,241.0,118.560684411,100.0,50.0
770,241.0,119.923733148,100.0,50.0
780,241.0,121.24384386,100.0,50.0
790,242.0,122.616321869,100.0,50.0
800,242.0,123.99475296,100.0,50.0
810,241.0,125.452355691,100.0,50.0
820,241.0,126.988031205,100.0,50.0
830,241.0,128.739083922,100.0,50.0
840,241.0,130.323683181,100.0,50.0
850,241.0,131.67383205,100.0,50.0
860,241.0,133.062033895,100.0,50.0
870,241.0,134.617306265,100.0,50.0
880,241.0,136.143368762,100.0,50.0
890,241.0,137.825963087,100.0,50.0
900,241.0,139.52616132,100.0,50.0
910,240.0,140.943584599,100.0,50.0
920,240.0,142.293941577,100.0,50.0
930,240.0,143.775627154,100.0,50.0
940,242.0,145.217312554,100.0,50.0
950,240.0,146.609696055,100.0,50.0
960,240.0,147.973291382,100.0,50.0
970,241.0,149.345035549,100.0,50.0
980,240.0,150.600298149,100.0,50.0
990,240.0,151.661637306,100.0,50.0
1000,241.0,152.662953559,100.0,50.0
10,226.0,8.856873634,100.0,50.0
20,230.0,10.860021186,100.0,50.0
30,237.0,12.704026047,100.0,50.0
40,239.0,14.41813734,100.0,50.0
50,240.0,15.892864421,100.0,50.0
60,243.0,17.218054023,100.0,50.0
70,240.0,18.603333465,100.0,50.0
80,239.0,19.972703831,100.0,50.0
90,239.0,21.325755188,100.0,50.0
100,240.0,22.705625797,100.0,50.0
110,240.0,24.115207239,100.0,50.0
120,239.0,25.434872785,100.0,50.0
130,240.0,26.791840673,100.0,50.0
140,239.0,28.172587997,100.0,50.0
150,240.0,29.480211124,100.0,50.0
160,240.0,30.888645674,100.0,50.0
170,240.0,32.3992246,100.0,50.0
180,239.0,33.745439434,100.0,50.0
190,239.0,35.12749323,100.0,50.0
200,240.0,36.447523323,100.0,50.0
210,239.0,37.821952083,100.0,50.0
220,240.0,39.144875804,100.0,50.0
230,241.0,40.523520036,100.0,50.0
240,240.0,41.854732803,100.0,50.0
250,240.0,43.066016404,100.0,50.0
260,239.0,44.44020261,100.0,50.0
270,240.0,45.796935576,100.0,50.0
280,240.0,47.141955002,100.0,50.0
290,240.0,48.507128693,100.0,50.0
300,240.0,49.898167645,100.0,50.0
310,239.0,51.20634057,100.0,50.0
320,239.0,52.581653367,100.0,50.0
330,240.0,53.908286513,100.0,50.0
340,239.0,55.282206258,100.0,50.0
350,241.0,56.604699067,100.0,50.0
360,240.0,57.888487779,100.0,50.0
370,239.0,59.208320062,100.0,50.0
380,239.0,60.533862961,100.0,50.0
390,240.0,61.93585971,100.0,50.0
400,239.0,63.283270735,100.0,50.0
410,240.0,64.691652409,100.0,50.0
420,239.0,66.021282607,100.0,50.0
430,239.0,67.390513907,100.0,50.0
440,239.0,68.732196813,100.0,50.0
450,239.0,70.086585926,100.0,50.0
460,240.0,71.40809003,100.0,50.0
470,240.0,72.802571864,100.0,50.0
480,240.0,74.278610037,100.0,50.0
490,240.0,75.72444961,100.0,50.0
500,241.0,77.299346458,100.0,50.0
510,239.0,78.988736718,100.0,50.0
520,240.0,80.538262492,100.0,50.0
530,239.0,82.095437101,100.0,50.0
540,240.0,83.717765358,100.0,50.0
550,240.0,85.265219579,100.0,50.0
560,239.0,86.807503831,100.0,50.0
570,239.0,88.290053377,100.0,50.0
580,241.0,89.809993462,100.0,50.0
590,239.0,91.479728972,100.0,50.0
600,239.0,93.165350615,100.0,50.0
610,239.0,94.917578483,100.0,50.0
620,240.0,96.440182217,100.0,50.0
630,239.0,98.179859184,100.0,50.0
640,239.0,99.687036679,100.0,50.0
650,239.0,101.182437162,100.0,50.0
660,239.0,102.719862729,100.0,50.0
670,239.0,104.050729552,100.0,50.0
680,239.0,105.558622973,100.0,50.0
690,239.0,107.714814556,100.0,50.0
700,241.0,110.104282094,100.0,50.0
710,240.0,111.831230104,100.0,50.0
720,240.0,113.297747757,100.0,50.0
730,239.0,114.674035428,100.0,50.0
740,239.0,116.022506149,100.0,50.0
750,239.0,117.371807273,100.0,50.0
760,239.0,118.7756409,100.0,50.0
770,240.0,120.10001687,100.0,50.0
780,239.0,121.472100741,100.0,50.0
790,240.0,122.83740302,100.0,50.0
800,239.0,124.199266005,100.0,50.0
810,241.0,125.775763113,100.0,50.0
820,240.0,127.358168358,100.0,50.0
830,241.0,129.091218281,100.0,50.0
840,239.0,130.580531361,100.0,50.0
850,240.0,132.030780595,100.0,50.0
860,240.0,133.404830086,100.0,50.0
870,240.0,134.920610443,100.0,50.0
880,239.0,136.534855182,100.0,50.0
890,240.0,138.264660063,100.0,50.0
900,241.0,139.870882926,100.0,50.0
910,240.0,141.301927349,100.0,50.0
920,240.0,142.680576095,100.0,50.0
930,240.0,144.199056826,100.0,50.0
940,239.0,145.612700533,100.0,50.0
950,239.0,146.908068482,100.0,50.0
960,239.0,148.284207282,100.0,50.0
970,239.0,149.678020236,100.0,50.0
980,241.0,150.865902971,100.0,50.0
990,239.0,151.89291798,100.0,50.0
1000,239.0,152.869505015,100.0,50.0
10,223.0,8.914696892,100.0,50.0
20,228.0,10.95681411,100.0,50.0
30,232.0,12.88682859,100.0,50.0
40,232.0,14.650161447,100.0,50.0
50,232.0,16.164224977,100.0,50.0
60,232.0,17.585362578,100.0,50.0
70,232.0,18.96128768,100.0,50.0
80,232.0,20.388048428,100.0,50.0
90,232.0,21.780148788,100.0,50.0
100,232.0,23.192759163,100.0,50.0
110,235.0,24.575223838,100.0,50.0
120,232.0,25.957291545,100.0,50.0
130,232.0,27.321382519,100.0,50.0
140,233.0,28.740553689,100.0,50.0
150,232.0,29.978526702,100.0,50.0
160,232.0,31.32762963,100.0,50.0
170,232.0,32.647206917,100.0,50.0
180,232.0,34.021671247,100.0,50.0
190,234.0,35.466252659,100.0,50.0
200,232.0,36.81553582,100.0,50.0
210,233.0,38.190093997,100.0,50.0
220,233.0,39.580345887,100.0,50.0
230,232.0,40.892726937,100.0,50.0
240,232.0,42.194778761,100.0,50.0
250,233.0,43.495793368,100.0,50.0
260,234.0,44.913493162,100.0,50.0
270,233.0,46.314667261,100.0,50.0
280,235.0,47.693028997,100.0,50.0
290,232.0,49.022478875,100.0,50.0
300,233.0,50.400297032,100.0,50.0
310,235.0,51.704091545,100.0,50.0
320,235.0,53.083460541,100.0,50.0
330,235.0,54.436682749,100.0,50.0
340,232.0,55.822209058,100.0,50.0
350,232.0,57.14031579,100.0,50.0
360,232.0,58.472639448,100.0,50.0
370,234.0,59.818368961,100.0,50.0
380,232.0,61.185165077,100.0,50.0
390,232.0,62.598699741,100.0,50.0
400,234.0,63.958634252,100.0,50.0
410,232.0,65.346747926,100.0,50.0
420,233.0,66.732303748,100.0,50.0
430,235.0,68.128372777,100.0,50.0
440,234.0,69.471715849,100.0,50.0
450,233.0,70.832563786,100.0,50.0
460,234.0,72.240015179,100.0,50.0
470,233.0,73.708529391,100.0,50.0
480,234.0,75.091457083,100.0,50.0
490,232.0,76.459312272,100.0,50.0
500,234.0,78.359283193,100.0,50.0
510,232.0,79.898198827,100.0,50.0
520,232.0,81.376418649,100.0,50.0
530,232.0,82.947789584,100.0,50.0
540,234.0,84.694240489,100.0,50.0
550,232.0,86.21994816,100.0,50.0
560,232.0,87.773467632,100.0,50.0
570,233.0,89.301338143,100.0,50.0
580,232.0,90.913448452,100.0,50.0
590,235.0,92.767711694,100.0,50.0
600,234.0,94.465897737,100.0,50.0
610,232.0,96.178199235,100.0,50.0
620,232.0,97.898967382,100.0,50.0
630,233.0,99.343558025,100.0,50.0
640,233.0,100.860515801,100.0,50.0
650,234.0,102.399848665,100.0,50.0
660,239.0,103.782497986,100.0,50.0
670,234.0,105.349627219,100.0,50.0
680,235.0,107.479188087,100.0,50.0
690,234.0,109.798862799,100.0,50.0
700,234.0,111.717473867,100.0,50.0
710,232.0,113.188598442,100.0,50.0
720,234.0,114.647349489,100.0,50.0
730,234.0,116.057270575,100.0,50.0
740,232.0,117.425827981,100.0,50.0
750,232.0,118.807834835,100.0,50.0
760,234.0,120.12697159,100.0,50.0
770,232.0,121.483159711,100.0,50.0
780,232.0,122.883172414,100.0,50.0
790,233.0,124.291696076,100.0,50.0
800,234.0,125.790600645,100.0,50.0
810,234.0,127.413325728,100.0,50.0
820,232.0,128.686835393,100.0,50.0
830,232.0,130.229498777,100.0,50.0
840,232.0,131.603764857,100.0,50.0
850,234.0,133.0912877,100.0,50.0
860,234.0,134.671803221,100.0,50.0
870,232.0,136.203540036,100.0,50.0
880,232.0,138.037814107,100.0,50.0
890,232.0,139.657131979,100.0,50.0
900,234.0,141.123957964,100.0,50.0
910,232.0,142.473418271,100.0,50.0
920,233.0,144.009631658,100.0,50.0
930,232.0,145.451548614,100.0,50.0
940,232.0,146.823803137,100.0,50.0
950,232.0,148.186601291,100.0,50.0
960,232.0,149.562104826,100.0,50.0
970,232.0,150.774381463,100.0,50.0
980,232.0,151.850591389,100.0,50.0
990,233.0,152.929143549,100.0,50.0
1000,232.0,153.659904017,100.0,50.0
10,222.0,8.950162309,100.0,50.0
20,226.0,10.906534946,100.0,50.0
30,230.0,12.776402365,100.0,50.0
40,230.0,14.444961663,100.0,50.0
50,229.0,15.875585545,100.0,50.0
60,229.0,17.258247672,100.0,50.0
70,229.0,18.649122448,100.0,50.0
80,228.0,20.038389601,100.0,50.0
90,230.0,21.396173324,100.0,50.0
100,228.0,22.78062816,100.0,50.0
110,228.0,24.182576722,100.0,50.0
120,228.0,25.529031522,100.0,50.0
130,228.0,26.848650679,100.0,50.0
140,228.0,28.268093112,100.0,50.0
150,228.0,29.598257301,100.0,50.0
160,228.0,31.011895596,100.0,50.0
170,230.0,32.554652123,100.0,50.0
180,229.0,33.898903038,100.0,50.0
190,229.0,35.313167565,100.0,50.0
200,229.0,36.655997481,100.0,50.0
210,228.0,38.066806472,100.0,50.0
220,229.0,39.412753463,100.0,50.0
230,231.0,40.820061581,100.0,50.0
240,230.0,42.158147792,100.0,50.0
250,229.0,43.387517192,100.0,50.0
260,228.0,44.829499019,100.0,50.0
270,229.0,46.233072309,100.0,50.0
280,230.0,47.629859643,100.0,50.0
290,229.0,49.031653495,100.0,50.0
300,230.0,50.388434797,100.0,50.0
310,232.0,51.761534357,100.0,50.0
320,229.0,53.154489745,100.0,50.0
330,229.0,54.558784726,100.0,50.0
340,229.0,55.933755535,100.0,50.0
350,230.0,57.308835947,100.0,50.0
360,230.0,58.857140544,100.0,50.0
370,230.0,60.234617012,100.0,50.0
380,232.0,61.672354197,100.0,50.0
390,231.0,63.114866648,100.0,50.0
400,232.0,64.496060515,100.0,50.0
410,230.0,65.908536883,100.0,50.0
420,230.0,67.299540045,100.0,50.0
430,230.0,68.671652772,100.0,50.0
440,230.0,70.03211332,100.0,50.0
450,230.0,71.364378181,100.0,50.0
460,230.0,72.780431073,100.0,50.0
470,229.0,74.227807973,100.0,50.0
480,230.0,75.63797116,100.0,50.0
490,232.0,77.007173084,100.0,50.0
500,233.0,78.902037979,100.0,50.0
510,231.0,80.464710509,100.0,50.0
520,233.0,82.017812742,100.0,50.0
530,233.0,83.711843661,100.0,50.0
540,233.0,85.339887208,100.0,50.0
550,231.0,86.983043516,100.0,50.0
560,230.0,88.487142579,100.0,50.0
570,233.0,90.03888674,100.0,50.0
580,234.0,91.766980414,100.0,50.0
590,232.0,93.434026521,100.0,50.0
600,231.0,95.135113878,100.0,50.0
610,231.0,96.972314282,100.0,50.0
620,230.0,98.597003468,100.0,50.0
630,234.0,100.235862095,100.0,50.0
640,233.0,101.637052063,100.0,50.0
650,234.0,103.220921938,100.0,50.0
660,235.0,104.614253716,100.0,50.0
670,230.0,106.502151674,100.0,50.0
680,234.0,108.849573323,100.0,50.0
690,230.0,111.086785961,100.0,50.0
700,234.0,112.569836792,100.0,50.0
