iterations,fitness,time,samples,tokeep
220,3729.2715885789457,7.571638277,180,90
230,3750.4459336853733,7.835336463,180,90
240,3743.0825067168475,8.202458296,180,90
250,3775.0764657069963,8.220756491,180,90
260,3750.4459336853733,8.653916363,180,90
270,3750.4459336853733,9.011690119,180,90
280,3750.4459336853733,9.212694218,180,90
290,3729.2715885789457,9.511602278,180,90
300,3729.2715885789457,9.744401876,180,90
310,3729.2715885789457,10.06111874,180,90
320,3729.2715885789457,10.32535161,180,90
330,3729.2715885789457,10.334006464,180,90
340,3729.2715885789457,10.615797501,180,90
350,3729.2715885789457,10.857436446,180,90
360,3729.2715885789457,11.10937099,180,90
370,3729.2715885789457,11.348458141,180,90
380,3729.2715885789457,11.655483296,180,90
390,3729.2715885789457,11.904784614,180,90
400,3729.2715885789457,11.911638598,180,90
410,3729.2715885789457,12.223265888,180,90
420,3729.2715885789457,12.457714063,180,90
430,3729.2715885789457,12.682384176,180,90
440,3729.2715885789457,12.863897325,180,90
450,3729.2715885789457,13.151628279,180,90
460,3729.2715885789457,13.383745239,180,90
470,3742.5442613344044,13.654591859,180,90
480,3729.2715885789457,13.663908557,180,90
490,3741.0871354544443,13.75365243,180,90
500,3741.0871354544443,14.01766383,180,90
510,3741.0871354544443,14.319856107,180,90
520,3741.0871354544443,14.529511085,180,90
530,3741.0871354544443,14.722427173,180,90
540,3741.0871354544443,14.934980296,180,90
550,3741.0871354544443,14.943914003,180,90
560,3741.0871354544443,15.147240124,180,90
570,3741.0871354544443,15.156947791,180,90
580,3741.0871354544443,15.649174974,180,90
590,3741.0871354544443,15.850207754,180,90
600,3741.0871354544443,16.000535329,180,90
610,3746.1876214336903,16.207483396,180,90
620,3751.2078076347516,16.215139635,180,90
630,3741.0871354544443,16.342476028,180,90
640,3741.0871354544443,16.541822341,180,90
650,3741.0871354544443,16.704547424,180,90
660,3729.2715885789457,16.858191012,180,90
670,3729.2715885789457,17.04907265,180,90
680,3759.3777934837776,17.160053842,180,90
690,3729.2715885789457,17.339875215,180,90
700,3729.2715885789457,17.498953931,180,90
