a,b,c,d,e
520,3250.724103449684,9.476339223,200,100
530,3250.724103449684,9.581190028,200,100
540,3250.724103449684,9.712755054,200,100
550,3252.418407159974,9.794784428,200,100
560,3250.724103449684,9.930163745,200,100
570,3264.996412739817,10.067133403,200,100
580,3250.724103449684,10.074220913,200,100
590,3250.724103449684,10.135026659,200,100
600,3250.724103449684,10.281089128,200,100
610,3250.724103449684,10.286344438,200,100
620,3252.418407159974,10.321006766,200,100
630,3250.724103449684,10.326942228,200,100
640,3251.726461578453,10.376397621,200,100
650,3251.726461578453,10.382456219,200,100
660,3250.724103449684,10.423054778,200,100
670,3250.724103449684,10.46340747,200,100
680,3262.5182209577843,10.473069255,200,100
690,3267.9404326352847,10.517210759,200,100
700,3250.724103449684,10.522373267,200,100
710,3250.724103449684,10.558789107,200,100
720,3250.724103449684,10.566029036,200,100
730,3250.724103449684,10.598333736,200,100
740,3253.9970795367926,10.630671006,200,100
750,3250.724103449684,10.641052721,200,100
760,3252.418407159974,10.674453126,200,100
770,3253.9970795367926,10.726578935,200,100
780,3252.418407159974,10.73161211,200,100
790,3252.418407159974,10.79311184,200,100
800,3252.418407159974,10.799050484,200,100
810,3252.418407159974,10.832965089,200,100
820,3252.418407159974,10.838413532,200,100
830,3252.418407159974,10.850104625,200,100
840,3250.724103449684,10.856585892,200,100
850,3264.8280080143495,10.87611459,200,100
860,3251.726461578453,10.901707386,200,100
870,3250.724103449684,10.909798541,200,100
880,3251.726461578453,10.958611674,200,100
890,3257.776055732017,10.964234115,200,100
900,3257.776055732017,11.004005827,200,100
910,3257.776055732017,11.01601519,200,100
920,3264.996412739817,11.067371707,200,100
930,3257.776055732017,11.072819556,200,100
940,3257.776055732017,11.14612407,200,100
950,3250.724103449684,11.180975677,200,100
960,3257.776055732017,11.189465368,200,100
970,3250.724103449684,11.217702076,200,100
980,3250.724103449684,11.243363562,200,100
990,3250.724103449684,11.249623052,200,100
1000,3250.724103449684,11.289693382,200,100
10,2386.399847175649,0.336865735,200,100
20,2605.994635374419,0.69291434,200,100
30,2694.5141585064343,1.049757546,200,100
40,2807.258071140861,1.34402096,200,100
50,2823.8387887755916,1.706501913,200,100
60,2942.5872480358,1.973536167,200,100
70,3072.074694327525,2.135993099,200,100
80,3004.976454536445,2.545437098,200,100
90,2993.692246005259,2.632925348,200,100
100,3032.732920625297,2.999726745,200,100
110,3067.4027401705694,3.317145065,200,100
120,3074.0665887111686,3.513110315,200,100
130,3098.204684748121,3.779204476,200,100
140,3106.504246591044,3.993551566,200,100
150,3176.278784233531,4.298344142,200,100
160,3170.671313608126,4.477633438,200,100
170,3200.72451997572,4.732522248,200,100
180,3187.766026315552,4.936815941,200,100
190,3199.789311214163,5.098903877,200,100
200,3203.144348451855,5.204529832,200,100
210,3227.597315533593,5.406817424,200,100
220,3231.5467114058342,5.554139909,200,100
230,3247.6836665054125,5.754195235,200,100
240,3250.0865283897742,5.891524945,200,100
250,3245.8861555617837,6.0502339,200,100
260,3234.6949974488953,6.173996497,200,100
270,3234.6949974488953,6.305430779,200,100
280,3234.6949974488953,6.418233071,200,100
290,3234.6949974488953,6.581749901,200,100
300,3232.4368856841756,6.872031781,200,100
310,3234.6949974488953,6.942697236,200,100
320,3234.6949974488953,7.080199925,200,100
330,3234.9003360637034,7.259962995,200,100
340,3250.4182338728074,7.351454276,200,100
350,3232.4368856841756,7.583165186,200,100
360,3249.2515173793063,7.671602824,200,100
370,3232.4368856841756,7.831437771,200,100
380,3232.4368856841756,7.926513105,200,100
390,3232.4368856841756,8.058484736,200,100
400,3232.4368856841756,8.193521206,200,100
410,3230.28405825331,8.309501325,200,100
420,3216.9189878750717,8.460053527,200,100
