a,b,c,d,e,f
1530,0.17893936665148663,7.417159859,200,50,40
1540,0.17171310616788513,7.427056265,200,50,40
1550,0.17288488800525686,7.489197807,200,50,40
1560,0.17288488800525686,7.490181184,200,50,40
1570,0.17288488800525686,7.491876857,200,50,40
1580,0.17288488800525686,7.558207,200,50,40
1590,0.17288488800525686,7.702222879,200,50,40
1600,0.16650056261625998,7.974894841,200,50,40
1610,0.1838942824120609,8.059303061,200,50,40
1620,0.1838942824120609,8.060893262,200,50,40
1630,0.1838942824120609,8.1415806,200,50,40
1640,0.1838942824120609,8.14365618,200,50,40
1650,0.1838942824120609,8.279327513,200,50,40
1660,0.1859854263348105,8.281160561,200,50,40
1670,0.1859854263348105,8.283577207,200,50,40
1680,0.1838942824120609,8.44447567,200,50,40
1690,0.1868263889295108,8.446428606,200,50,40
1700,0.18389428241206093,8.448307497,200,50,40
1710,0.1838942824120609,8.450090998,200,50,40
1720,0.1859790700352231,8.519320005,200,50,40
1730,0.1859790700352231,8.52139568,200,50,40
1740,0.1859790700352231,8.522946515,200,50,40
1750,0.1859790700352231,8.716279409,200,50,40
1760,0.18597907003522304,8.717900276,200,50,40
1770,0.18492681411649164,8.718977398,200,50,40
1780,0.18492681411649164,8.720149524,200,50,40
1790,0.18492681411649167,8.791303437,200,50,40
1800,0.18492681411649164,8.867629863,200,50,40
1810,0.18492681411649164,8.868471847,200,50,40
1820,0.18437966451370685,8.936841746,200,50,40
1830,0.18437966451370685,8.939001254,200,50,40
1840,0.18437966451370685,8.940725129,200,50,40
1850,0.18567667321225934,8.942843769,200,50,40
1860,0.1856766732122594,8.944562656,200,50,40
1870,0.18567667321225936,8.945893292,200,50,40
1880,0.18567667321225936,8.976393231,200,50,40
1890,0.18437966451370688,9.044547689,200,50,40
1900,0.18437966451370685,9.094732643,200,50,40
1910,0.18437966451370685,9.146367624,200,50,40
1920,0.18437966451370685,9.192348713,200,50,40
1930,0.18437966451370685,9.253765598,200,50,40
1940,0.18437966451370685,9.368850253,200,50,40
1950,0.18437966451370685,9.530896063,200,50,40
1960,0.18437966451370685,9.53176866,200,50,40
1970,0.18437966451370685,9.532769213,200,50,40
1980,0.18550253784604823,9.534081057,200,50,40
1990,0.18550253784604823,9.60577286,200,50,40
2000,0.18550253784604823,9.707344633,200,50,40
2010,0.1856789618033427,9.71284919,200,50,40
2020,0.1856789618033427,9.714227929,200,50,40
2030,0.1856789618033427,9.715910982,200,50,40
2040,0.18550253784604823,9.717923309,200,50,40
2050,0.18550253784604823,9.948748093,200,50,40
2060,0.18550253784604823,9.951175699,200,50,40
2070,0.18550253784604817,9.952481169,200,50,40
2080,0.1849390509255683,9.953831014,200,50,40
2090,0.1856789618033427,9.955197104,200,50,40
2100,0.1856789618033427,9.956662969,200,50,40
2110,0.18437966451370688,9.959470224,200,50,40
2120,0.18437966451370688,9.960980906,200,50,40
2130,0.18437966451370688,9.962251255,200,50,40
2140,0.18437966451370688,9.965256241,200,50,40
2150,0.18437966451370685,10.114820951,200,50,40
2160,0.18437966451370688,10.187651243,200,50,40
2170,0.18437966451370688,10.189265825,200,50,40
2180,0.18447579909786135,10.302405843,200,50,40
2190,0.18447579909786135,10.467677954,200,50,40
2200,0.18447579909786135,10.657435986,200,50,40
2210,0.18437966451370685,10.760718384,200,50,40
2220,0.18515830948772186,11.04151101,200,50,40
2230,0.18437966451370685,11.102553391,200,50,40
2240,0.18437966451370688,11.153399376,200,50,40
2250,0.18437966451370688,11.155407086,200,50,40
2260,0.18437966451370688,11.20218148,200,50,40
2270,0.18437966451370688,11.254945563,200,50,40
2280,0.18437966451370688,11.256291998,200,50,40
2290,0.18437966451370688,11.257984547,200,50,40
2300,0.18437966451370685,11.318815806,200,50,40
2310,0.18437966451370685,11.320862463,200,50,40
2320,0.18437966451370688,11.516651875,200,50,40
2330,0.18437966451370688,11.61930879,200,50,40
2340,0.18437966451370685,11.666700477,200,50,40
2350,0.18437966451370685,11.707010121,200,50,40
2360,0.18437966451370683,11.708392872,200,50,40
2370,0.18437966451370683,11.795826952,200,50,40
2380,0.18437966451370688,11.845198831,200,50,40
2390,0.18437966451370688,11.903540194,200,50,40
2400,0.18437966451370688,12.039692726,200,50,40
2410,0.187204580998228,12.094679358,200,50,40
2420,0.187204580998228,12.189809182,200,50,40
2430,0.187204580998228,12.191617876,200,50,40
2440,0.187204580998228,12.341077886,200,50,40
2450,0.187204580998228,12.387549259,200,50,40
2460,0.18437966451370683,12.429596557,200,50,40
2470,0.18632382847546525,12.476485161,200,50,40
2480,0.18632382847546525,12.477431856,200,50,40
2490,0.18237649338408266,12.517439534,200,50,40
2500,0.18237649338408266,12.519185558,200,50,40
2510,0.18237649338408268,12.605917127,200,50,40
2520,0.18237649338408266,12.698843695,200,50,40
2530,0.18237649338408266,12.748679619,200,50,40
2540,0.18423106986756857,12.750244262,200,50,40
2550,0.1835077298854891,12.80256179,200,50,40
2560,0.1835077298854892,12.85701417,200,50,40
2570,0.1835077298854892,12.858090912,200,50,40
2580,0.18350772988548913,12.919685704,200,50,40
2590,0.18350772988548916,12.921601293,200,50,40
2600,0.18350772988548913,12.922920145,200,50,40
2610,0.1866839350944001,12.971957694,200,50,40
2620,0.18350772988548916,12.973430783,200,50,40
2630,0.18350772988548916,13.099391178,200,50,40
2640,0.18350772988548916,13.153442194,200,50,40
2650,0.18350772988548916,13.202659504,200,50,40
2660,0.18350772988548916,13.246410161,200,50,40
2670,0.18350772988548913,13.288512564,200,50,40
2680,0.18350772988548913,13.333240924,200,50,40
2690,0.18350772988548916,13.434701603,200,50,40
2700,0.18350772988548913,13.484909881,200,50,40
2710,0.18350772988548916,13.534067703,200,50,40
2720,0.18350772988548916,13.668214874,200,50,40
2730,0.18350772988548916,13.711669734,200,50,40
2740,0.18350772988548913,13.71310596,200,50,40
2750,0.18350772988548916,13.757208591,200,50,40
2760,0.18350772988548913,13.758880451,200,50,40
2770,0.18350772988548913,13.760722978,200,50,40
2780,0.18350772988548916,13.762564753,200,50,40
2790,0.1835077298854892,13.764448364,200,50,40
2800,0.1836096700959384,13.858838724,200,50,40
2810,0.1835077298854892,13.85993882,200,50,40
2820,0.18350772988548916,13.861217945,200,50,40
2830,0.18350772988548916,13.911569674,200,50,40
2840,0.18350772988548916,13.966133814,200,50,40
2850,0.18350772988548916,13.967633092,200,50,40
2860,0.18551496000070994,14.056974419,200,50,40
2870,0.1835077298854892,14.10986825,200,50,40
2880,0.1835077298854892,14.111713132,200,50,40
2890,0.18350772988548916,14.158514947,200,50,40
2900,0.1835077298854892,14.20690164,200,50,40
2910,0.1835077298854892,14.207707167,200,50,40
2920,0.1835077298854892,14.208834481,200,50,40
2930,0.1835077298854892,14.277992191,200,50,40
2940,0.18350772988548916,14.288195681,200,50,40
