a,b,c,d,e
50,46.0,17.601382979,100.0,50.0
60,246.0,19.580460689,100.0,50.0
70,47.0,21.510112848,100.0,50.0
80,246.0,23.316496392,100.0,50.0
90,47.0,24.973667147,100.0,50.0
100,48.0,26.664637342,100.0,50.0
110,247.0,28.229564699,100.0,50.0
120,47.0,29.752857054,100.0,50.0
130,47.0,31.330407895,100.0,50.0
140,49.0,32.97483427,100.0,50.0
150,48.0,34.66593049,100.0,50.0
160,48.0,36.170413452,100.0,50.0
170,48.0,37.735553033,100.0,50.0
180,48.0,39.289935323,100.0,50.0
190,48.0,40.907888672,100.0,50.0
200,48.0,42.495439222,100.0,50.0
210,49.0,44.068918347,100.0,50.0
220,229.0,45.537770837,100.0,50.0
230,48.0,47.088311806,100.0,50.0
240,48.0,48.54656083,100.0,50.0
250,47.0,50.121517734,100.0,50.0
260,247.0,51.487080206,100.0,50.0
270,48.0,53.075243505,100.0,50.0
280,247.0,54.977738104,100.0,50.0
290,48.0,56.560821424,100.0,50.0
300,48.0,58.072855066,100.0,50.0
310,48.0,59.701322169,100.0,50.0
320,49.0,61.304332433,100.0,50.0
330,49.0,62.781798704,100.0,50.0
340,49.0,64.516459514,100.0,50.0
350,48.0,66.16233047,100.0,50.0
360,49.0,67.76937145,100.0,50.0
370,50.0,69.574508886,100.0,50.0
380,51.0,71.233288068,100.0,50.0
390,49.0,72.79852768,100.0,50.0
400,52.0,74.556359131,100.0,50.0
410,50.0,76.089916076,100.0,50.0
420,52.0,77.702069656,100.0,50.0
430,248.0,79.256807237,100.0,50.0
440,52.0,80.804668302,100.0,50.0
450,50.0,82.404148718,100.0,50.0
460,50.0,84.062150765,100.0,50.0
470,50.0,85.523468033,100.0,50.0
480,50.0,87.167964574,100.0,50.0
490,50.0,88.726059578,100.0,50.0
500,249.0,90.385753846,100.0,50.0
510,50.0,91.898502787,100.0,50.0
520,50.0,93.356466147,100.0,50.0
530,51.0,94.860781742,100.0,50.0
540,231.0,96.153559957,100.0,50.0
550,52.0,97.659854891,100.0,50.0
560,51.0,98.929874036,100.0,50.0
570,53.0,100.126026953,100.0,50.0
580,50.0,101.64684559,100.0,50.0
590,52.0,103.074371692,100.0,50.0
600,249.0,104.695652609,100.0,50.0
610,52.0,106.359786745,100.0,50.0
620,50.0,107.830637413,100.0,50.0
630,50.0,109.48627414,100.0,50.0
640,50.0,110.967500212,100.0,50.0
650,53.0,112.612948523,100.0,50.0
660,248.0,114.202501609,100.0,50.0
670,50.0,115.810109396,100.0,50.0
680,51.0,117.307411137,100.0,50.0
690,52.0,118.806159312,100.0,50.0
700,49.0,120.303730588,100.0,50.0
710,249.0,122.009561923,100.0,50.0
720,233.0,123.622385183,100.0,50.0
730,249.0,125.462234103,100.0,50.0
740,50.0,127.190957575,100.0,50.0
750,50.0,128.58877576,100.0,50.0
760,51.0,130.273899287,100.0,50.0
770,50.0,131.898465182,100.0,50.0
780,231.0,133.544304836,100.0,50.0
790,52.0,135.0675215,100.0,50.0
800,52.0,136.683200846,100.0,50.0
810,249.0,138.142251663,100.0,50.0
820,249.0,139.809700722,100.0,50.0
830,49.0,141.417550465,100.0,50.0
840,50.0,143.041633325,100.0,50.0
850,50.0,144.454929319,100.0,50.0
860,50.0,145.775359985,100.0,50.0
870,50.0,147.297266347,100.0,50.0
880,50.0,148.925456693,100.0,50.0
890,50.0,150.55739035,100.0,50.0
900,52.0,152.098952214,100.0,50.0
910,50.0,153.792068875,100.0,50.0
920,51.0,155.38632942,100.0,50.0
930,53.0,156.991257023,100.0,50.0
940,50.0,158.596868057,100.0,50.0
950,52.0,160.093926709,100.0,50.0
960,50.0,161.749317577,100.0,50.0
970,50.0,163.413352755,100.0,50.0
980,50.0,164.954491172,100.0,50.0
990,53.0,166.339508019,100.0,50.0
1000,52.0,167.643551929,100.0,50.0
10,226.0,8.570332988,100.0,50.0
20,223.0,12.028081239,100.0,50.0
30,224.0,14.687535973,100.0,50.0
40,237.0,16.817991249,100.0,50.0
50,239.0,18.755456293,100.0,50.0
60,240.0,20.533691166,100.0,50.0
70,41.0,22.368809066,100.0,50.0
80,239.0,24.178978465,100.0,50.0
90,240.0,25.841788234,100.0,50.0
100,240.0,27.304354191,100.0,50.0
110,240.0,28.856157744,100.0,50.0
120,240.0,30.37074331,100.0,50.0
130,240.0,32.037848305,100.0,50.0
140,240.0,33.670832178,100.0,50.0
150,239.0,35.018334055,100.0,50.0
160,241.0,36.561159304,100.0,50.0
170,240.0,38.159692715,100.0,50.0
180,240.0,39.942517766,100.0,50.0
190,239.0,41.424756763,100.0,50.0
200,239.0,42.922219573,100.0,50.0
210,240.0,44.341750311,100.0,50.0
220,240.0,45.969088073,100.0,50.0
230,240.0,47.506295744,100.0,50.0
240,240.0,49.000560514,100.0,50.0
250,239.0,50.504894164,100.0,50.0
260,240.0,51.901546886,100.0,50.0
270,241.0,53.432472836,100.0,50.0
280,240.0,55.079690928,100.0,50.0
290,240.0,56.587512008,100.0,50.0
300,240.0,58.212987373,100.0,50.0
310,240.0,59.87483797,100.0,50.0
320,240.0,61.665920559,100.0,50.0
330,240.0,63.28207363,100.0,50.0
340,240.0,64.724096984,100.0,50.0
350,240.0,66.185618409,100.0,50.0
360,240.0,67.594114201,100.0,50.0
370,240.0,69.113802669,100.0,50.0
380,241.0,70.735218874,100.0,50.0
390,240.0,71.936263984,100.0,50.0
400,240.0,73.589688505,100.0,50.0
410,240.0,75.206415127,100.0,50.0
420,240.0,76.842382898,100.0,50.0
430,240.0,78.368639832,100.0,50.0
440,243.0,79.880981464,100.0,50.0
450,240.0,81.378793852,100.0,50.0
460,243.0,83.04005757,100.0,50.0
470,240.0,84.473191242,100.0,50.0
480,240.0,85.94873024,100.0,50.0
490,241.0,87.585844385,100.0,50.0
