a,b,c,d,e,f
1380,0.15520805563372153,5.702032366,500,100,40
1390,0.15520805563372153,5.705969861,500,100,40
1400,0.15709024006722314,5.765911079,500,100,40
1410,0.15709024006722314,5.769795738,500,100,40
1420,0.1570902400672231,5.851839449,500,100,40
1430,0.1570902400672231,5.855466129,500,100,40
1440,0.15709024006722316,5.858628208,500,100,40
1450,0.15709024006722316,5.932621881,500,100,40
1460,0.15709024006722316,5.935786691,500,100,40
1470,0.15709024006722316,5.938869242,500,100,40
1480,0.1570902400672231,5.942036849,500,100,40
1490,0.15709024006722314,6.054821899,500,100,40
1500,0.15709024006722314,6.058967076,500,100,40
1510,0.1570902400672231,6.139097679,500,100,40
1520,0.15709024006722314,6.142868165,500,100,40
1530,0.15709024006722314,6.150439888,500,100,40
1540,0.1570902400672231,6.261089727,500,100,40
1550,0.1570902400672231,6.264507477,500,100,40
1560,0.1570902400672231,6.268280477,500,100,40
1570,0.1570902400672231,6.320071708,500,100,40
1580,0.1570902400672231,6.324932079,500,100,40
1590,0.1570902400672231,6.333454745,500,100,40
1600,0.1570902400672231,6.41673572,500,100,40
1610,0.1570902400672231,6.419906985,500,100,40
1620,0.1570902400672231,6.4232074,500,100,40
1630,0.1570902400672231,6.525004919,500,100,40
1640,0.1570902400672231,6.531789224,500,100,40
1650,0.15709024006722314,6.603691869,500,100,40
1660,0.15709024006722314,6.607831529,500,100,40
1670,0.15709024006722316,6.611440967,500,100,40
1680,0.15709024006722316,6.632824795,500,100,40
1690,0.15709024006722316,6.636490164,500,100,40
1700,0.1570902400672231,6.639728957,500,100,40
1710,0.1570902400672231,6.716718748,500,100,40
1720,0.15709024006722314,6.781422603,500,100,40
1730,0.1570902400672231,6.78458437,500,100,40
1740,0.1570902400672231,6.787856149,500,100,40
1750,0.1570902400672231,6.888765786,500,100,40
1760,0.1570902400672231,6.892375348,500,100,40
1770,0.1570902400672231,7.002489544,500,100,40
1780,0.1570902400672231,7.007280195,500,100,40
1790,0.1570902400672231,7.011432255,500,100,40
1800,0.15721055728168334,7.052504534,500,100,40
1810,0.15721055728168334,7.055772945,500,100,40
1820,0.15721055728168334,7.059925259,500,100,40
1830,0.1570902400672231,7.159008226,500,100,40
1840,0.1570902400672231,7.162162951,500,100,40
1850,0.1570902400672231,7.168093439,500,100,40
1860,0.1570902400672231,7.171121379,500,100,40
1870,0.15591719800576437,7.27589775,500,100,40
1880,0.1559171980057644,7.279124231,500,100,40
1890,0.1559171980057644,7.282784706,500,100,40
1900,0.15591719800576437,7.286516871,500,100,40
1910,0.15591719800576437,7.289850674,500,100,40
1920,0.15591719800576437,7.293236845,500,100,40
1930,0.15591719800576437,7.457967236,500,100,40
1940,0.15591719800576437,7.460950986,500,100,40
1950,0.1559171980057644,7.463845635,500,100,40
1960,0.1559171980057644,7.564984997,500,100,40
1970,0.15591719800576437,7.56819849,500,100,40
1980,0.1559171980057644,7.572392815,500,100,40
1990,0.1559171980057644,7.646044024,500,100,40
2000,0.15591719800576437,7.649222526,500,100,40
2010,0.15591719800576437,7.654322572,500,100,40
2020,0.1559171980057644,7.676871737,500,100,40
2030,0.1559171980057644,7.679872419,500,100,40
2040,0.1559171980057644,7.682985084,500,100,40
2050,0.1559171980057644,7.833752237,500,100,40
2060,0.1559171980057644,7.836714749,500,100,40
2070,0.1559171980057644,7.863807771,500,100,40
2080,0.1559171980057644,7.867023617,500,100,40
2090,0.1559171980057644,7.870117625,500,100,40
2100,0.1559171980057644,7.976564644,500,100,40
2110,0.1559171980057644,7.983878287,500,100,40
2120,0.1559171980057644,7.987258771,500,100,40
2130,0.15669038960021164,8.059041302,500,100,40
2140,0.1559171980057644,8.062239571,500,100,40
2150,0.15635025802189886,8.065235791,500,100,40
2160,0.15635025802189886,8.137804826,500,100,40
2170,0.1559171980057644,8.14104161,500,100,40
2180,0.1559171980057644,8.144266412,500,100,40
2190,0.1560357243586112,8.244805006,500,100,40
2200,0.1559171980057644,8.24838266,500,100,40
2210,0.1559171980057644,8.253907382,500,100,40
2220,0.1559171980057644,8.261486458,500,100,40
2230,0.1559171980057644,8.264979866,500,100,40
2240,0.1559171980057644,8.268369287,500,100,40
2250,0.1559171980057644,8.355118827,500,100,40
2260,0.15591719800576437,8.35808363,500,100,40
2270,0.15591719800576437,8.361125188,500,100,40
2280,0.15591719800576437,8.446712457,500,100,40
2290,0.1559171980057644,8.449838155,500,100,40
2300,0.1559171980057644,8.455311005,500,100,40
2310,0.1559171980057644,8.566541036,500,100,40
2320,0.1559171980057644,8.582038046,500,100,40
2330,0.1559171980057644,8.58516791,500,100,40
2340,0.1559171980057644,8.704609933,500,100,40
2350,0.1559171980057644,8.707560333,500,100,40
2360,0.1559171980057644,8.710820732,500,100,40
2370,0.1559171980057644,8.71383905,500,100,40
2380,0.1559171980057644,8.771926231,500,100,40
2390,0.1559171980057644,8.775029996,500,100,40
2400,0.1559171980057644,8.778415172,500,100,40
2410,0.1559171980057644,8.857534478,500,100,40
2420,0.1559171980057644,8.861394601,500,100,40
2430,0.15591719800576434,8.864311554,500,100,40
2440,0.15591719800576434,8.944227486,500,100,40
2450,0.1561362586922876,8.948058647,500,100,40
2460,0.15591719800576434,8.951323987,500,100,40
2470,0.1559171980057643,9.057346132,500,100,40
2480,0.15591719800576437,9.060821894,500,100,40
2490,0.15591719800576437,9.064314058,500,100,40
2500,0.1559171980057643,9.168167397,500,100,40
2510,0.1559171980057643,9.171406388,500,100,40
2520,0.155769083794672,9.174824589,500,100,40
2530,0.155769083794672,9.266014654,500,100,40
2540,0.155769083794672,9.269222396,500,100,40
2550,0.155769083794672,9.272092057,500,100,40
2560,0.155769083794672,9.387190966,500,100,40
2570,0.15613625869228756,9.390827457,500,100,40
2580,0.1561362586922876,9.393827723,500,100,40
2590,0.15613625869228756,9.458141454,500,100,40
2600,0.15613625869228756,9.462000719,500,100,40
2610,0.155769083794672,9.465017522,500,100,40
2620,0.15613625869228762,9.540826964,500,100,40
2630,0.15613625869228762,9.552077432,500,100,40
2640,0.15613625869228762,9.555247775,500,100,40
2650,0.15613625869228762,9.639854585,500,100,40
2660,0.15613625869228762,9.642927178,500,100,40
2670,0.15613625869228762,9.646010898,500,100,40
2680,0.15613625869228762,9.648960825,500,100,40
2690,0.15613625869228762,9.751896613,500,100,40
2700,0.15613625869228762,9.755232488,500,100,40
2710,0.15613625869228762,9.758829414,500,100,40
2720,0.1561362586922876,9.849095745,500,100,40
2730,0.155769083794672,9.852610318,500,100,40
2740,0.155769083794672,9.856131752,500,100,40
2750,0.155769083794672,9.909244772,500,100,40
2760,0.1559596688343888,9.913612354,500,100,40
2770,0.1559596688343888,9.989840268,500,100,40
2780,0.155769083794672,10.005386097,500,100,40
2790,0.1559596688343888,10.014848453,500,100,40
2800,0.15733468434366701,10.10024903,500,100,40
2810,0.15733468434366701,10.108244672,500,100,40
2820,0.15733468434366701,10.11243821,500,100,40
2830,0.15733468434366701,10.175153134,500,100,40
2840,0.15733468434366701,10.186910755,500,100,40
2850,0.15733468434366701,10.19263558,500,100,40
2860,0.15733468434366701,10.19685427,500,100,40
2870,0.15733468434366701,10.20006251,500,100,40
2880,0.15733468434366701,10.20339175,500,100,40
2890,0.15733468434366701,10.352823455,500,100,40
2900,0.15733468434366701,10.35654878,500,100,40
2910,0.15733468434366701,10.360158925,500,100,40
2920,0.15733468434366704,10.437965018,500,100,40
2930,0.15733468434366704,10.448912564,500,100,40
2940,0.15733468434366704,10.452441263,500,100,40
2950,0.15733468434366704,10.458075518,500,100,40
